# MCGRATH_AP
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
58,95.50,80.50,70.50,73.00,28.50,0.00,10.00,44.00,128.50,77.00,150.50,95.00,63.50,151.50,149.00,138.50,69.00,138.50,217.50,76.50,73.00,61.00,30.50,135.50,169.00,68.50,24.50,195.50,70.50,69.00,110.00,66.00,111.50,12.00,145.00,138.50,192.50,122.00,82.00,90.00,85.00,118.50,63.50
59,107.50,87.00,71.00,81.50,38.50,0.00,11.50,53.50,133.00,86.50,154.00,103.00,63.50,162.50,160.00,154.50,73.50,151.50,217.50,77.00,81.50,65.50,41.00,141.50,180.00,84.00,26.50,204.50,70.50,87.50,123.50,79.50,121.50,12.00,155.00,148.50,204.00,130.50,90.50,98.00,85.00,122.00,71.50
60,117.50,93.50,72.00,88.00,48.00,0.00,17.50,62.50,140.50,97.00,158.50,112.50,63.50,172.00,169.50,169.50,78.00,166.00,219.00,78.00,90.00,70.00,49.50,154.00,200.50,98.00,28.00,216.00,70.50,105.00,133.00,89.00,125.00,12.00,169.00,160.50,215.50,139.00,97.50,110.00,88.00,122.00,78.00
61,129.00,98.00,72.00,94.50,48.50,4.00,24.50,74.50,149.50,106.00,167.00,122.50,63.50,182.00,179.00,186.00,81.00,179.50,227.50,78.00,100.50,70.00,51.50,167.00,221.50,113.00,30.50,227.50,70.50,120.00,141.50,95.00,125.00,12.00,185.00,173.00,231.00,151.50,101.00,126.00,94.00,122.00,88.50
62,140.50,102.50,72.00,102.50,48.50,8.50,31.00,86.00,160.00,118.00,176.00,130.50,63.50,194.00,193.00,206.50,84.50,193.00,233.00,78.00,110.00,70.00,54.50,179.50,241.00,128.00,38.00,242.00,80.50,136.00,149.50,103.50,125.00,12.00,206.50,185.00,244.00,164.00,104.00,137.50,102.00,130.00,96.00
63,153.50,108.00,72.00,111.50,48.50,12.50,42.00,95.00,171.00,128.00,182.00,141.00,63.50,205.50,203.50,221.50,91.00,208.50,237.50,78.00,116.00,70.00,58.50,190.00,259.00,140.00,44.50,258.00,89.50,148.00,158.00,111.00,126.50,12.00,226.50,199.50,259.00,177.50,112.00,146.00,112.50,139.50,105.50
64,167.00,121.50,73.50,118.50,48.50,15.00,45.00,107.50,180.50,136.00,186.50,152.00,63.50,217.00,212.50,236.50,100.50,224.00,243.50,84.00,117.50,70.00,59.50,200.00,281.00,151.50,52.50,275.00,98.50,157.00,162.00,118.00,132.00,12.00,237.00,216.00,271.00,189.50,120.50,153.00,122.00,152.00,115.50
65,181.50,135.00,78.50,125.50,48.50,20.50,50.50,119.50,190.00,144.00,197.50,165.00,63.50,230.00,225.00,249.00,114.00,240.00,258.50,86.00,121.50,70.00,65.50,208.50,300.50,162.00,65.00,291.00,110.00,163.00,165.00,128.00,140.00,12.00,245.50,232.50,283.50,204.00,129.50,161.50,135.00,168.50,126.00
66,196.50,150.00,89.00,134.00,52.00,29.00,60.50,134.50,200.00,154.00,209.50,180.00,63.50,242.00,236.00,267.50,129.50,255.50,268.00,92.50,129.00,70.00,73.00,215.50,324.50,179.50,74.50,297.50,122.50,169.50,178.50,130.00,151.00,12.00,252.50,247.00,296.50,219.50,137.00,173.50,151.00,181.00,136.50
67,211.00,169.00,101.00,143.50,55.00,34.00,70.50,150.00,211.00,164.50,221.00,191.00,70.00,252.50,246.50,284.00,140.50,272.00,278.00,92.50,140.00,73.50,79.50,224.50,352.00,198.00,81.00,305.00,132.50,178.50,193.50,132.00,163.50,13.50,261.50,264.50,316.00,238.00,144.00,189.00,168.00,195.50,144.50
