# YAKUTAT_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
50,293.00,312.50,76.00,220.00,315.50,105.50,122.50,193.00,215.50,130.00,254.00,136.50,217.00,225.50,241.00,170.50,175.00,148.00,242.00,127.50,191.00,162.00,26.00,184.00,192.50,271.50,133.50,83.50,127.50,56.50,205.00,196.00,137.50,48.00,113.50,264.50,403.00,203.00,225.00,392.00,122.50,113.00,185.50
51,299.50,322.00,77.50,229.50,326.00,110.50,127.00,198.00,221.50,137.00,265.00,142.50,226.00,238.50,259.50,178.50,187.50,158.00,251.50,132.00,197.00,167.00,27.00,190.00,198.50,282.00,139.50,91.50,132.00,62.50,213.00,203.00,143.50,48.00,123.00,269.00,417.50,214.00,232.00,402.00,131.50,121.50,189.50
52,309.00,330.00,77.50,240.00,328.00,115.50,130.50,203.50,236.00,143.50,273.50,149.00,235.50,250.50,278.00,186.50,205.50,171.50,260.00,134.00,202.00,174.50,27.50,203.00,205.50,293.00,146.00,100.00,139.00,67.00,220.00,211.00,150.00,51.00,129.00,274.50,436.00,226.50,240.00,409.50,141.50,128.00,195.50
53,318.50,339.00,81.50,248.50,330.00,118.50,132.00,213.50,243.00,153.00,278.00,158.00,245.00,261.50,294.00,194.50,215.00,187.50,272.00,138.50,208.50,183.50,30.50,218.50,211.50,303.00,153.50,108.50,151.50,70.50,225.50,220.50,157.00,56.00,133.50,284.50,451.00,238.50,249.50,415.00,152.00,138.00,203.50
54,329.00,345.50,84.00,258.00,334.00,122.50,139.50,221.00,248.00,163.50,286.00,170.00,257.50,273.00,312.50,201.00,221.00,204.00,285.00,143.50,215.00,192.00,30.50,231.50,219.50,319.50,161.00,114.50,158.50,75.50,232.50,232.00,164.00,61.00,141.00,293.00,463.50,253.00,257.00,421.00,161.50,150.50,213.00
55,342.50,354.50,88.50,272.50,337.00,126.50,145.50,228.50,256.00,175.50,295.50,179.00,270.00,285.50,325.00,213.00,234.50,217.00,298.00,149.50,224.00,199.50,31.00,247.50,231.50,338.50,166.00,122.00,164.00,80.50,244.00,244.50,175.00,64.50,146.50,305.50,476.00,263.50,266.00,429.50,174.00,160.00,222.50
56,354.50,362.50,93.00,281.50,340.50,132.00,155.50,238.50,264.00,191.50,308.50,187.00,281.50,296.00,337.00,221.50,242.50,228.50,308.50,155.00,231.50,211.00,32.00,266.00,242.00,356.00,172.00,128.50,173.50,84.00,260.00,255.50,182.50,66.00,155.50,320.50,487.00,275.00,275.00,440.00,183.00,168.50,232.00
57,365.50,371.50,100.50,289.00,346.50,137.00,168.00,245.50,274.00,204.00,321.50,195.50,293.50,311.00,348.50,237.00,250.50,236.00,318.50,157.50,240.00,219.00,36.50,283.00,250.50,376.00,176.00,135.50,182.50,89.50,276.50,264.00,188.00,66.00,164.50,327.50,497.00,288.50,282.00,449.00,196.50,178.00,243.00
58,376.00,381.00,105.50,300.00,355.50,143.00,176.00,253.00,287.00,214.00,330.00,203.50,302.50,324.50,361.00,252.00,262.00,244.00,327.00,160.50,249.00,226.50,41.50,298.00,261.00,396.00,179.00,144.50,187.50,97.00,289.00,275.50,192.50,66.00,176.00,336.00,508.50,299.50,288.50,456.50,206.50,183.50,253.00
59,387.50,394.00,107.50,309.50,366.50,145.00,189.00,263.00,297.00,229.00,341.50,215.00,309.50,337.00,371.50,270.50,272.50,251.00,337.00,167.50,258.50,235.50,48.00,311.00,270.00,416.00,185.00,150.00,192.50,103.50,301.00,286.50,199.50,66.00,183.50,344.50,519.00,307.50,297.50,465.50,212.00,191.00,261.00
60,398.00,408.00,110.00,323.00,377.50,148.50,195.00,273.50,303.50,243.00,352.50,223.50,315.00,348.50,383.00,289.00,280.50,259.00,349.00,176.50,268.00,244.50,53.00,322.00,287.00,433.00,191.50,155.00,198.50,114.50,311.50,294.00,207.50,67.50,191.50,351.50,531.50,320.00,307.50,476.50,220.50,200.50,268.50
61,408.50,420.00,114.50,335.50,383.50,154.00,207.00,287.00,311.50,253.50,363.50,231.00,325.00,361.50,397.50,305.00,286.00,266.50,363.00,180.50,275.50,252.00,58.00,337.00,303.00,445.50,197.50,164.50,212.00,127.00,321.50,307.00,216.00,73.00,206.50,359.50,544.00,329.00,319.00,490.50,231.00,208.50,279.50
62,417.50,433.50,122.00,344.00,387.50,160.00,219.00,295.50,319.50,263.00,374.00,241.50,336.00,374.00,413.00,320.50,292.50,276.00,372.00,185.50,286.00,257.50,63.00,350.00,317.00,457.50,204.00,174.00,222.50,145.00,327.50,320.00,222.00,82.00,229.00,368.00,556.00,341.00,327.00,504.50,244.00,217.50,288.00
63,426.00,445.00,130.00,353.50,393.50,168.00,226.50,305.50,326.50,274.00,383.50,258.00,346.00,384.50,423.00,333.50,303.50,290.00,383.00,189.00,300.50,264.50,66.50,358.00,330.50,472.00,214.50,184.50,228.50,154.00,335.00,332.50,229.50,90.50,248.50,378.50,565.50,352.50,331.50,517.00,255.50,227.50,295.50
64,440.50,458.00,138.00,362.00,399.50,174.00,237.50,315.00,333.50,286.00,391.00,268.00,357.00,395.00,429.00,346.00,313.50,301.00,396.50,194.00,310.50,268.50,70.50,364.00,340.50,483.50,225.50,193.50,236.50,161.50,346.50,344.00,237.00,101.00,262.00,391.00,576.00,360.00,342.50,526.00,265.50,236.50,305.00
65,458.50,470.00,148.00,369.50,405.50,178.50,247.00,326.00,344.50,298.50,397.50,276.50,363.50,408.50,437.00,354.00,325.50,313.00,406.50,201.00,319.00,271.00,74.50,372.00,357.50,496.00,234.00,203.50,244.50,168.50,359.00,356.00,245.00,108.50,274.00,401.00,586.00,369.00,355.00,534.00,276.50,247.00,311.50
