# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
47,374.04,437.23,497.00,311.00,485.82,293.50,417.00,380.00,508.00,402.00,395.50,302.23,379.00,299.50,384.50,331.00,163.50,343.00,421.50,405.50,244.00,280.00,274.50,228.50,406.00,315.00,319.00,331.50,383.00,519.00,626.00,322.01,406.00,481.00,324.00,289.50,370.00
48,385.04,446.23,512.50,324.50,499.32,308.50,427.00,394.50,522.00,409.00,404.50,308.23,391.50,312.00,395.50,343.00,173.00,350.50,427.00,418.50,250.50,289.50,279.00,237.00,421.00,325.00,330.50,342.00,395.50,533.50,638.00,333.01,418.50,493.50,341.50,312.00,384.50
49,396.54,457.48,525.50,342.50,513.82,321.00,437.00,406.50,536.50,421.50,416.00,317.73,404.50,326.50,406.50,353.50,181.50,360.00,437.00,431.50,258.50,298.00,284.00,245.50,437.50,332.50,344.50,349.50,412.00,547.00,652.50,347.51,428.50,503.50,352.00,330.50,398.50
50,407.04,468.98,541.00,356.00,525.32,333.00,448.50,421.00,556.50,435.50,428.00,332.23,414.00,333.50,419.00,367.00,187.00,368.50,449.00,450.00,265.50,309.50,290.00,256.50,450.00,342.50,356.50,357.00,427.00,561.50,669.00,362.51,436.00,511.00,366.00,351.50,412.50
51,416.54,480.48,554.00,367.50,537.32,345.00,461.00,437.50,574.50,449.00,442.50,340.73,430.00,343.50,433.00,378.00,195.50,378.50,463.50,469.50,273.50,324.00,297.00,263.50,460.50,352.00,366.00,365.50,436.00,574.50,690.00,376.51,448.00,522.00,380.00,369.50,427.00
52,425.54,491.48,564.00,377.00,547.32,356.50,471.00,453.50,593.50,466.00,455.50,356.73,444.00,351.00,443.00,389.00,203.00,389.50,475.50,490.00,284.50,340.50,305.50,274.50,469.00,361.50,377.00,376.00,447.50,582.50,710.50,394.51,460.00,532.00,394.00,383.50,439.50
53,435.54,509.48,570.00,392.50,557.82,371.50,484.00,470.00,613.00,482.00,468.50,378.23,454.00,363.00,452.00,398.50,208.00,403.50,483.50,509.50,300.00,353.00,317.50,287.00,477.50,371.50,387.50,390.50,457.50,597.50,727.00,414.01,473.50,540.00,408.00,400.00,451.00
54,448.04,528.98,575.00,408.00,567.82,383.50,500.50,488.50,629.50,502.50,483.50,392.23,464.50,374.50,459.50,408.50,213.50,421.00,495.00,533.50,311.50,365.50,325.00,300.00,488.50,383.00,398.00,404.50,472.00,615.50,742.50,428.01,489.50,546.50,421.50,415.00,463.00
55,461.04,553.98,582.00,425.00,582.82,395.00,518.50,501.50,649.50,522.50,498.00,407.23,475.00,382.00,476.00,422.50,223.00,438.00,505.50,551.00,320.50,378.50,332.00,315.50,504.00,397.00,412.50,417.50,484.50,633.50,756.00,443.51,504.50,554.50,436.00,431.00,476.00
56,474.54,575.98,591.50,450.00,596.82,407.50,534.50,515.00,670.50,546.00,511.50,419.73,487.50,389.00,489.00,436.00,236.50,456.50,521.00,573.00,330.50,390.00,346.00,331.00,523.50,408.00,427.00,429.00,498.50,646.00,769.50,458.51,526.00,562.00,448.50,445.00,486.50
57,488.04,599.48,607.50,461.50,611.82,419.50,550.50,531.50,688.00,571.50,523.50,430.73,502.00,397.50,501.00,448.50,251.50,474.00,535.50,597.50,343.00,399.00,359.00,347.00,541.00,421.50,439.00,438.50,510.50,659.50,785.50,469.51,547.50,572.50,461.50,459.00,498.50
58,498.54,622.48,622.00,476.50,624.82,431.00,564.50,545.00,705.00,596.00,535.00,443.73,512.50,407.50,510.00,459.00,265.00,490.50,549.50,618.50,353.50,409.00,366.00,364.00,555.50,438.00,452.00,446.00,522.50,675.00,797.50,481.01,563.50,589.00,474.50,475.00,511.00
59,509.54,645.98,636.00,499.50,639.32,447.00,577.00,558.50,721.00,627.50,546.50,452.23,524.00,422.00,520.50,469.00,278.00,507.50,566.00,638.50,363.00,420.50,374.50,380.00,568.00,451.00,461.50,451.00,535.50,687.50,810.00,491.51,579.50,608.00,486.50,489.50,523.00
60,521.54,667.48,656.00,524.00,651.32,464.50,586.00,570.50,735.50,650.50,557.50,463.23,543.50,434.50,533.00,475.50,298.00,524.00,586.00,655.00,369.50,433.00,382.50,398.00,578.00,460.50,474.50,455.50,551.00,699.00,824.00,506.51,592.00,628.00,499.50,503.00,541.00
61,537.04,687.48,669.00,551.00,665.32,481.00,599.00,583.50,755.00,667.50,569.50,473.73,561.00,444.00,547.00,489.00,315.50,534.00,606.00,672.00,377.00,447.50,396.50,420.50,593.00,468.00,485.50,464.50,575.00,711.50,844.00,516.01,607.00,650.00,514.50,518.50,556.50
62,548.54,702.50,680.50,568.50,683.32,500.50,616.00,596.50,769.50,688.50,581.00,486.73,582.00,451.00,561.50,497.50,324.50,546.50,621.50,691.00,390.00,463.00,406.50,446.50,603.00,479.50,497.00,478.50,598.50,723.50,863.50,528.01,625.00,668.00,534.00,534.00,570.50
