# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
47,260.00,287.00,125.50,244.50,420.00,212.50,180.00,285.00,291.50,197.00,311.00,193.00,272.00,298.50,294.50,204.00,194.50,201.50,278.50,190.00,252.00,216.00,89.00,195.50,239.50,305.50,180.00,120.50,189.50,110.00,263.50,158.50,219.00,125.50,183.00,315.00,447.00,220.50,194.50,395.00,139.00,152.50,240.50
48,271.50,294.00,131.00,250.00,431.00,218.00,187.50,293.00,301.50,206.50,326.50,208.00,284.50,311.00,301.00,214.00,203.50,207.50,294.50,204.50,259.00,229.50,96.50,203.50,247.00,312.00,184.00,128.00,189.50,119.50,280.50,164.50,231.50,131.50,188.50,323.50,460.00,230.00,200.50,406.00,152.50,171.50,245.00
49,281.00,304.00,137.00,257.00,445.50,225.50,195.00,300.00,312.50,218.50,340.00,221.50,296.50,325.50,312.00,225.00,216.50,214.50,303.50,220.50,268.00,241.00,105.50,214.00,254.50,324.00,188.00,137.00,189.50,129.50,294.50,170.50,246.50,134.50,198.00,334.00,471.50,238.00,210.00,416.00,167.00,186.50,252.50
50,291.50,317.00,145.00,268.00,461.50,233.50,201.00,308.00,324.00,233.00,350.00,231.50,309.00,340.00,331.00,234.50,230.00,222.50,312.50,231.00,278.50,253.50,114.00,225.50,264.00,338.50,194.00,147.50,194.50,137.00,306.50,178.00,260.50,136.00,213.00,344.50,484.00,249.50,217.50,426.50,177.50,201.00,262.00
51,299.50,326.50,153.00,280.50,473.50,242.50,207.50,316.00,337.50,243.00,361.50,242.50,321.00,358.00,346.50,250.00,245.50,234.00,326.00,241.50,289.00,266.00,120.00,235.00,273.50,355.50,204.50,160.50,202.50,142.00,316.00,184.00,269.50,140.50,225.50,353.50,497.50,260.50,223.00,437.00,189.00,211.50,271.50
52,306.50,339.50,159.50,293.00,484.50,252.50,212.50,324.00,351.50,254.50,372.50,253.50,334.50,375.50,363.00,264.50,262.00,246.50,338.00,247.50,294.50,279.50,128.50,249.00,280.00,369.00,213.00,175.50,214.00,149.50,326.00,191.50,279.50,145.00,236.00,361.50,519.00,274.00,232.00,448.50,200.00,221.00,280.00
53,317.50,353.00,164.50,307.50,489.50,263.50,215.00,333.50,364.50,267.50,383.50,266.50,346.50,392.50,380.50,276.00,274.50,260.00,350.00,257.00,299.00,291.50,136.00,266.00,285.00,386.50,222.50,186.50,228.00,156.50,335.50,200.50,286.50,151.00,247.50,372.50,536.00,288.00,241.50,454.00,212.50,233.00,291.00
54,329.50,362.50,173.00,325.50,495.00,269.50,224.50,342.00,378.50,281.50,393.50,282.00,360.00,408.50,401.00,289.00,287.00,274.50,365.00,263.00,309.50,301.50,142.00,285.50,293.50,405.00,230.00,198.00,238.00,167.00,346.00,209.50,295.50,159.50,259.50,385.50,547.00,302.50,251.50,460.50,223.00,247.00,301.00
55,345.00,375.00,180.50,343.00,502.50,277.50,232.50,350.00,389.50,299.50,405.50,293.50,374.50,425.50,417.00,303.00,301.00,291.00,379.00,271.00,321.00,314.00,149.50,307.50,303.00,424.50,237.50,210.00,246.50,177.00,360.00,222.50,308.50,165.50,270.50,400.00,561.00,319.50,262.50,466.50,237.00,261.00,309.00
56,361.50,385.00,187.00,361.00,512.00,286.00,244.00,359.00,404.00,317.00,418.00,305.50,388.50,445.50,432.50,319.00,310.50,303.50,391.00,277.50,331.50,325.00,154.50,330.00,314.00,443.00,244.50,220.00,261.50,186.00,378.50,233.50,321.00,167.50,281.50,418.00,577.50,332.50,274.50,479.50,250.50,275.00,321.50
