# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
46,208.75,116.75,83.75,134.50,251.25,74.00,57.25,184.00,152.75,130.50,192.50,127.00,113.25,183.50,204.00,199.75,134.00,130.25,196.50,85.33,118.50,126.00,34.33,126.17,147.75,115.50,60.50,113.12,89.88,54.25,100.06,59.25,129.38,20.88,83.62,186.50,280.50,129.50,98.25,338.88,108.25,54.25,93.88,42.17,131.54
47,217.50,119.50,89.00,142.75,257.50,81.00,63.25,190.00,164.75,142.25,207.75,138.50,120.50,197.75,204.00,212.75,146.50,132.75,213.00,97.33,123.83,133.88,36.83,137.83,157.62,119.25,64.12,123.38,89.88,61.00,110.68,62.62,143.75,22.12,95.50,197.75,294.25,136.67,102.12,348.50,122.50,66.38,97.88,48.00,138.30
48,225.75,125.00,93.00,151.75,259.00,89.00,70.25,195.50,174.75,154.00,223.50,149.50,130.50,212.50,211.25,225.00,162.25,135.00,228.83,113.33,128.67,141.12,43.00,147.83,167.25,121.00,66.62,136.50,94.25,68.25,124.93,69.12,159.62,23.25,109.25,213.00,307.62,141.67,109.12,358.88,140.00,83.62,102.62,53.50,146.56
49,235.25,136.00,98.00,161.75,265.50,89.00,75.00,203.25,185.75,168.00,239.50,161.75,142.50,225.25,225.00,239.75,181.00,138.00,241.50,131.67,135.50,145.88,50.83,159.50,177.25,123.50,71.50,148.75,101.38,75.38,142.56,76.12,175.75,25.88,121.38,231.88,321.88,148.00,114.38,368.00,158.12,100.62,107.00,57.83,156.00
50,248.25,147.75,108.50,171.50,279.25,91.50,82.25,213.00,195.00,182.00,255.50,175.25,154.50,236.50,242.75,253.75,194.75,141.75,255.33,148.00,149.17,152.38,62.33,172.00,188.50,132.12,75.62,162.25,113.75,80.88,157.68,81.50,190.75,27.75,135.38,245.62,336.75,155.17,120.25,374.62,176.25,116.12,110.50,64.67,166.41
51,262.75,159.75,119.75,183.50,293.75,99.50,88.75,221.75,208.00,198.25,270.00,188.00,166.25,247.50,260.75,269.25,210.50,145.75,266.50,162.33,161.83,163.50,69.17,184.40,198.88,144.12,83.38,175.50,127.62,87.75,170.93,87.25,204.88,29.62,150.62,253.62,353.12,162.00,126.62,387.75,191.88,126.00,115.00,73.17,177.09
52,276.25,172.75,126.50,197.50,302.50,104.50,93.25,233.75,222.00,212.50,283.00,203.00,180.75,260.25,279.25,289.75,225.00,158.00,278.17,173.17,170.67,175.00,72.17,198.90,210.62,162.25,94.00,192.25,142.25,93.25,182.18,96.88,219.88,33.88,165.88,261.75,371.12,171.00,134.00,400.38,205.62,138.12,124.12,80.50,188.99
53,288.00,184.75,133.50,211.75,309.50,113.50,100.50,245.50,236.25,227.25,297.00,216.50,194.25,274.75,297.75,305.00,239.00,173.50,291.83,187.33,182.67,186.25,72.83,218.90,223.50,178.62,105.38,208.25,157.38,104.00,192.06,110.25,233.75,40.38,179.25,271.25,389.75,183.00,146.38,409.12,217.75,154.25,135.75,83.50,201.42
54,300.00,196.50,145.00,232.75,318.00,122.00,104.75,255.75,250.25,241.00,311.00,232.50,205.75,288.25,317.25,320.00,253.00,190.25,305.33,197.67,191.33,196.25,74.50,237.90,235.12,195.62,121.00,226.00,169.50,114.88,200.43,123.62,248.25,48.62,192.88,284.25,411.25,199.67,159.25,416.12,228.12,170.63,149.00,86.33,213.99
55,314.75,209.00,159.00,253.50,326.50,130.50,110.25,266.50,263.75,256.75,328.00,250.00,222.50,306.25,338.75,334.25,268.25,208.75,319.17,206.00,200.33,207.38,76.50,258.56,249.12,215.12,130.25,241.50,178.88,123.75,213.18,137.38,263.62,50.50,207.88,299.00,432.75,218.67,173.75,425.50,235.25,188.63,165.62,91.17,226.54
