# Cumulative DD25 averaged for Kobuk River at Ambler
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
57,91.25,63.75,24.50,96.50,43.25,2.50,13.75,45.00,106.00,72.75,73.00,70.00,30.50,116.75,32.25,86.25,69.75,95.00,153.50,58.67,68.50,94.62,43.83,121.40,192.38,103.50,50.62,163.88,110.98,81.50,121.56,71.25,146.75,18.25,184.12,157.38,269.50,105.67,101.12,284.33,171.62,143.12,109.50,22.67,104.62
58,95.50,70.50,24.50,107.25,43.25,2.50,13.75,54.00,119.00,73.25,73.00,75.50,32.25,120.50,36.00,90.50,69.75,101.25,155.67,64.50,72.83,97.88,53.17,132.40,201.62,120.50,54.00,171.12,117.73,96.25,133.18,82.62,155.62,18.25,194.75,167.25,283.38,115.67,107.12,294.83,176.12,148.88,119.12,26.67,111.89
59,98.25,76.75,24.50,116.00,44.00,2.50,13.75,61.50,129.50,77.75,73.00,82.00,32.25,123.75,37.25,99.75,69.75,107.00,159.67,71.00,77.33,100.00,65.17,146.73,215.26,138.25,55.50,178.62,124.73,113.12,146.56,94.25,162.75,19.38,206.62,176.75,297.50,129.33,114.62,308.83,181.00,154.12,132.62,33.83,120.12
60,99.00,85.25,24.50,125.75,44.00,2.50,16.50,66.50,136.75,83.75,73.00,88.00,32.25,130.00,39.25,106.50,69.75,112.25,163.33,74.83,80.67,102.25,76.83,155.90,231.13,155.12,58.75,186.38,130.36,132.38,158.43,106.25,170.25,21.12,221.50,184.00,310.00,143.83,123.12,325.83,186.25,160.62,148.12,43.83,128.46
61,102.25,87.25,24.50,138.00,44.00,2.50,18.25,73.50,145.25,93.25,73.75,92.50,32.25,133.00,40.25,113.00,69.75,120.00,172.00,75.67,84.83,106.50,85.33,167.06,250.76,173.00,63.25,193.88,134.48,148.95,166.56,116.75,174.62,21.75,237.50,190.75,324.50,156.50,130.62,344.83,193.00,165.62,160.38,53.17,136.62
62,105.75,91.25,24.50,150.25,44.00,2.50,25.25,79.75,156.50,103.00,73.75,100.25,32.25,137.25,43.25,121.25,72.00,133.00,176.50,77.17,89.00,108.38,86.50,179.73,268.76,187.75,71.88,203.75,144.36,166.20,174.18,124.88,176.25,23.75,255.25,198.38,337.00,166.00,136.25,361.17,202.00,173.50,169.75,62.83,144.78
63,107.75,97.75,24.75,161.25,44.00,2.50,35.50,82.75,167.75,113.00,73.75,111.75,32.25,140.50,48.50,127.00,76.75,145.25,180.17,80.17,93.50,110.25,90.33,191.40,284.88,200.50,80.00,215.25,153.36,181.08,182.43,132.12,179.00,27.25,273.38,208.00,350.00,175.83,141.50,371.33,213.62,185.62,177.50,68.00,153.02
64,117.75,109.25,28.25,169.25,44.00,3.75,41.75,83.00,182.50,118.25,75.25,124.75,32.25,146.75,58.50,130.00,86.00,151.00,184.83,82.00,99.33,113.25,92.83,202.56,299.63,214.12,91.78,227.38,166.61,192.95,189.56,138.88,184.00,29.62,287.38,220.12,362.12,183.33,151.50,381.83,228.75,198.00,186.50,71.83,161.61
65,135.00,120.25,32.75,177.50,44.00,3.75,48.75,83.50,194.25,121.50,78.50,142.00,32.25,151.00,70.00,134.25,97.00,158.00,190.33,82.67,104.83,118.75,96.17,213.06,315.01,226.24,103.78,235.12,179.11,203.33,196.18,146.00,192.00,30.88,296.25,232.25,375.88,192.33,164.38,392.83,241.50,208.25,196.25,75.67,170.58
66,154.00,130.25,37.75,183.00,44.00,4.50,53.75,84.75,204.00,124.75,88.25,160.00,32.25,152.50,77.25,145.00,108.25,171.00,196.33,86.50,110.33,123.25,103.17,222.56,331.13,241.82,116.78,244.62,191.23,210.83,206.68,152.12,199.62,33.12,308.38,244.25,391.88,206.17,174.12,405.00,253.75,222.50,205.25,80.17,180.56
