# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
46,162.75,211.75,115.50,67.25,110.16,26.00,65.50,129.75,101.25,94.00,205.50,93.75,99.67,217.75,111.75,134.94,140.50,129.50,213.00,57.88,89.25,75.88,43.38,83.67,137.12,48.50,26.76,135.88,63.12,40.50,46.93,39.50,77.50,22.75,75.12,146.00,211.00,107.50,94.75,296.88,125.38,52.75,71.75,29.13,
47,165.50,215.50,115.50,69.25,110.16,26.00,71.00,129.75,114.00,101.75,218.25,102.75,109.17,229.00,112.25,146.94,143.25,131.00,227.17,71.62,93.25,84.12,49.12,89.83,146.25,49.88,27.88,143.75,65.38,43.38,57.18,41.00,88.62,22.75,87.12,154.62,223.88,113.88,102.50,299.88,140.38,61.88,76.62,31.96,
48,169.25,227.75,115.50,76.75,110.16,26.00,79.75,129.75,122.75,109.00,231.50,113.75,119.67,243.25,121.50,160.44,143.25,137.25,240.50,89.62,94.25,88.38,53.50,97.17,156.75,50.00,28.13,155.12,71.00,46.38,72.56,44.50,101.88,22.75,101.25,170.38,237.38,118.25,113.50,304.25,157.12,76.38,82.88,32.96,
49,173.25,240.00,115.50,81.50,110.16,26.00,84.75,132.50,134.25,115.75,245.00,126.25,130.00,254.50,133.50,173.60,155.75,142.25,248.67,106.12,98.38,91.62,56.75,105.00,167.62,50.75,30.01,165.75,79.12,49.12,89.06,48.38,114.75,23.62,114.12,184.12,252.75,123.75,120.62,308.88,172.25,91.88,88.62,33.29,
50,179.00,251.00,115.50,88.00,114.33,26.00,86.75,135.50,143.25,122.00,260.00,139.75,139.50,269.00,145.25,183.77,170.50,145.75,261.33,123.87,109.62,98.75,64.50,116.50,180.25,52.50,32.26,179.75,92.75,52.88,105.56,50.88,125.38,24.12,129.00,193.88,269.50,131.38,124.62,311.12,188.25,105.88,94.88,34.29,
51,189.50,263.25,115.50,94.50,118.49,26.00,89.25,140.25,149.00,128.00,276.00,153.25,146.67,283.75,160.25,195.44,187.25,153.50,269.83,138.49,121.38,111.00,67.50,128.07,193.00,60.12,38.51,194.75,107.88,58.88,118.43,53.25,134.38,25.50,144.25,201.75,286.62,140.62,129.00,318.62,201.00,115.50,100.75,39.29,
52,200.50,272.75,115.50,104.50,122.83,26.00,91.50,145.75,154.25,135.75,289.00,165.00,154.50,296.50,169.75,211.44,203.25,161.25,283.00,150.62,130.00,124.25,68.75,141.40,208.62,75.62,46.38,213.12,123.88,65.38,128.81,62.00,147.00,28.88,160.62,209.38,304.50,151.12,136.38,327.62,212.50,127.88,112.75,45.13,
53,209.75,280.50,124.50,117.50,122.83,27.00,92.00,149.25,165.50,146.00,295.75,173.50,163.17,308.50,181.75,227.77,222.50,177.25,297.83,160.12,138.00,132.88,72.29,158.40,222.62,85.88,54.38,231.12,137.75,75.12,136.18,74.00,161.38,34.12,175.38,220.38,323.88,165.12,146.75,333.25,224.75,140.42,126.12,45.29,
54,218.25,287.75,135.75,129.50,123.16,27.00,92.00,149.75,177.50,153.75,301.50,185.25,172.50,320.50,192.25,245.10,233.00,196.00,313.67,163.74,144.62,140.38,75.04,174.56,236.38,100.25,64.38,249.00,145.75,85.25,142.81,88.75,174.12,40.12,190.62,234.38,346.62,181.25,160.00,337.88,236.75,156.29,137.25,49.68,
55,229.75,302.25,146.25,140.25,124.33,28.50,93.50,151.50,188.50,159.75,311.25,201.50,183.19,331.50,203.50,260.77,244.75,218.25,328.67,167.49,151.62,148.62,80.04,190.56,249.75,117.12,71.26,266.38,149.25,96.50,154.18,102.88,187.88,42.38,205.50,249.62,369.12,197.62,174.88,346.00,244.62,173.17,151.75,55.83,
56,246.75,311.75,153.25,151.00,133.49,28.50,94.75,161.25,204.50,164.50,320.25,218.75,193.02,343.00,219.75,277.10,255.50,237.25,341.00,171.87,157.75,159.25,92.29,209.90,263.62,136.00,76.63,282.38,152.88,112.62,169.93,116.62,202.12,42.88,221.50,265.12,389.00,213.62,187.25,354.75,252.38,190.92,166.00,65.39,
57,262.50,317.75,158.75,162.00,146.33,28.50,95.50,173.00,221.50,171.25,331.75,232.25,202.02,356.75,236.50,287.94,266.00,255.50,348.33,176.87,168.12,168.38,106.17,228.73,276.62,157.00,81.51,294.75,158.25,131.25,185.81,129.50,216.12,44.50,240.12,283.12,408.75,227.62,197.38,364.88,260.62,202.92,180.88,74.13,
58,278.75,329.00,163.00,174.50,161.83,29.00,101.50,186.00,235.00,188.50,341.00,246.50,208.19,372.75,253.75,299.44,273.75,275.00,353.00,187.37,180.25,177.50,120.42,244.90,288.75,177.75,87.63,308.25,165.75,151.12,203.81,143.25,230.00,45.00,256.88,299.25,427.75,241.75,207.88,378.25,268.75,212.79,193.75,84.45,
