# Cumulative DD25 averaged for Yukon River nr Emmonak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,221.00,251.75,90.25,145.50,157.50,14.00,74.00,149.75,175.50,121.00,219.50,198.25,115.50,288.75,140.00,191.50,230.00,219.50,251.67,127.00,145.83,145.25,120.50,206.40,267.63,170.38,63.63,255.75,146.48,137.50,175.18,124.50,192.75,31.25,248.00,240.50,404.88,203.83,180.88,340.38,245.12,194.38,209.00,69.46,170.18
60,227.25,260.75,90.25,157.25,162.75,14.00,81.75,163.00,182.50,135.50,226.00,213.75,117.00,301.00,148.00,200.25,231.50,233.50,258.00,132.33,154.33,150.00,132.67,222.23,288.01,191.38,66.88,268.12,152.11,157.75,189.06,137.50,200.50,33.50,264.38,252.00,421.00,218.50,191.62,358.62,253.00,201.12,225.12,81.29,181.63
61,234.25,266.75,90.25,168.00,162.75,14.00,90.25,179.00,192.50,146.50,232.50,226.50,117.25,310.75,155.00,211.00,236.50,247.75,268.00,133.67,160.00,154.25,143.17,235.73,311.76,212.25,72.63,279.38,156.23,176.45,197.43,150.00,205.88,34.25,281.25,261.88,439.75,233.83,200.75,378.00,262.12,208.25,241.12,92.79,192.58
62,242.75,276.00,90.25,178.75,162.75,17.00,102.00,191.75,207.00,157.50,234.50,242.00,117.25,319.00,164.25,227.75,243.00,264.25,273.83,135.67,165.83,156.12,145.50,252.40,332.13,231.25,84.38,293.25,166.61,197.95,205.18,161.50,208.62,36.75,300.88,273.12,455.50,247.33,209.00,393.62,274.75,220.50,254.62,101.63,203.62
63,251.00,282.75,92.75,188.75,162.75,22.00,111.00,201.25,219.25,168.25,235.50,256.25,117.25,329.75,173.50,239.75,254.00,276.75,280.00,138.67,171.17,158.00,151.67,267.73,349.76,246.12,95.51,309.12,178.48,215.58,214.31,171.50,211.38,40.25,320.62,286.50,472.12,259.83,217.50,404.62,290.25,237.12,264.75,108.13,214.44
64,267.25,293.50,99.75,197.50,162.75,26.00,119.00,206.75,232.50,176.75,238.75,271.00,117.25,344.75,184.00,247.00,267.75,288.50,288.67,140.50,179.50,161.00,157.67,280.23,367.38,260.38,109.79,324.25,193.98,230.45,224.18,181.25,216.38,42.62,337.00,301.88,487.38,268.50,229.38,415.88,308.25,253.00,275.62,114.79,225.61
65,287.00,307.25,108.00,208.25,166.00,29.50,129.25,211.50,244.00,186.00,246.25,291.00,117.25,357.75,200.75,258.25,281.75,304.50,298.50,141.17,187.83,167.75,164.83,291.23,386.88,274.11,123.79,334.50,209.61,242.20,234.18,192.00,226.88,43.88,348.62,319.00,505.25,281.00,242.62,428.50,325.75,266.62,288.88,120.96,237.83
66,308.00,323.00,119.00,220.25,169.75,35.00,141.25,217.25,256.00,196.75,260.50,315.00,119.25,366.75,216.00,274.25,295.50,321.00,308.50,145.00,196.33,172.25,172.67,303.23,406.13,292.20,137.29,347.00,224.48,251.70,248.43,200.00,238.12,47.00,362.38,336.50,526.50,299.00,253.12,442.38,343.50,283.88,300.88,126.29,251.00
67,326.00,343.50,133.75,233.25,175.00,41.00,150.50,226.75,269.75,199.75,274.00,333.50,120.50,370.50,229.50,294.00,305.25,331.25,318.00,149.50,206.50,179.62,184.00,318.73,423.01,312.57,147.29,357.75,242.11,263.20,263.06,207.25,250.00,51.12,375.62,355.25,545.88,320.83,263.88,460.38,364.00,304.38,310.88,135.63,264.41
68,348.00,364.50,148.00,250.25,183.75,48.50,155.00,237.00,289.50,200.00,288.00,348.75,120.50,371.75,243.50,313.25,317.75,345.00,330.50,155.00,215.67,187.38,195.83,332.06,435.51,333.70,159.29,370.00,258.61,274.95,277.93,216.00,260.25,57.75,389.00,371.88,565.25,338.17,280.12,479.88,390.00,322.75,321.62,147.79,278.50
69,368.75,380.25,161.00,269.50,190.75,53.75,162.25,246.75,306.50,205.00,304.50,367.00,125.25,379.25,258.75,336.75,333.25,360.50,343.83,163.50,221.67,194.50,208.00,346.40,448.58,359.20,170.41,384.38,275.48,286.70,290.68,226.75,270.62,69.00,404.88,392.62,583.75,355.00,300.38,498.88,416.12,342.75,332.75,160.29,293.65
70,384.25,395.75,173.25,290.75,196.50,57.00,167.75,254.75,319.25,214.75,321.50,383.00,132.50,389.75,273.25,364.75,348.75,378.50,354.00,174.00,230.33,203.38,220.00,358.40,461.96,384.57,185.04,399.00,292.86,299.70,304.81,236.00,281.50,83.12,422.88,414.12,604.25,371.50,322.00,520.88,442.50,364.50,341.62,174.79,309.92
