# Cumulative DD25 averaged for Yukon River at Marshall
# Sites: NOME_AP, BETHEL_AP, CHICKEN, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
52,172.83,217.50,89.50,91.00,115.50,19.00,70.00,123.83,127.17,112.50,230.50,135.00,111.50,250.00,127.17,170.00,169.00,132.67,243.88,111.38,122.38,96.50,65.25,122.92,192.50,60.25,34.63,167.50,101.00,41.88,93.88,48.38,98.88,29.75,143.00,138.38,278.75,131.25,133.88,245.25,174.62,107.50,121.12,39.22
53,179.50,222.67,95.50,103.50,115.50,19.67,70.33,126.17,136.67,121.83,235.00,143.67,115.83,259.50,135.17,182.50,186.50,143.33,257.75,117.50,127.50,102.25,65.38,137.30,205.00,66.38,38.88,185.25,111.88,49.50,97.88,58.12,111.38,33.00,158.38,147.25,296.00,145.00,143.38,249.25,183.88,119.88,134.00,39.34
54,187.33,227.50,103.17,113.67,115.50,19.67,70.33,126.50,148.17,128.33,238.83,154.67,122.33,269.00,142.17,195.83,195.50,159.00,272.75,119.88,131.75,108.38,67.62,151.92,214.88,76.62,45.01,200.75,116.62,58.00,102.25,73.38,122.38,38.25,173.12,159.38,315.38,161.12,154.38,251.38,195.00,133.12,144.38,42.63
55,195.83,237.17,110.17,122.67,116.33,20.67,71.33,127.67,158.33,132.33,245.67,166.67,131.67,278.00,149.67,208.50,203.67,177.50,285.88,123.25,136.50,114.38,70.88,165.92,223.75,90.50,49.13,214.62,119.50,68.00,110.25,86.50,133.38,40.50,187.12,173.88,335.38,177.62,166.62,256.75,202.38,148.50,156.12,47.25
56,211.33,243.50,114.83,133.33,123.50,20.67,72.17,134.17,172.50,135.50,253.67,179.83,138.67,287.33,161.00,219.00,210.83,194.00,296.25,126.00,140.12,122.75,81.12,182.67,234.38,107.25,52.38,228.38,123.00,80.25,120.25,97.12,146.00,42.12,202.62,186.25,354.12,194.50,176.62,263.12,206.88,165.75,167.88,55.29
57,225.50,248.50,118.50,143.67,135.17,20.67,72.67,143.33,189.83,140.00,263.33,190.83,145.33,299.33,174.67,226.50,217.83,211.17,302.12,129.25,147.75,130.75,93.38,198.80,245.12,126.00,55.01,238.75,126.25,94.75,130.25,107.88,157.50,44.38,220.50,200.88,371.38,208.38,184.38,270.50,212.12,176.75,180.00,61.85
58,239.17,258.83,121.33,155.50,145.17,21.00,76.67,156.17,204.00,151.83,269.50,204.00,151.67,312.50,188.67,236.00,223.00,227.83,305.62,138.00,156.50,138.75,106.62,212.42,255.12,143.12,58.38,249.75,131.38,111.12,141.38,120.50,168.12,44.88,234.00,215.88,388.62,220.88,192.75,281.50,217.38,182.88,192.25,70.46
59,252.00,270.00,123.83,165.83,156.50,21.67,83.17,171.17,213.83,165.67,276.17,218.83,156.67,326.67,200.83,251.00,228.83,244.33,309.62,146.12,166.88,145.75,121.12,228.42,269.76,162.38,60.76,262.00,137.00,129.88,156.00,134.25,176.50,46.25,246.25,231.38,406.25,235.38,202.12,295.25,223.50,188.25,207.25,81.92
60,261.83,280.50,126.50,178.17,165.50,24.00,92.67,185.33,223.33,181.17,284.33,234.67,158.83,340.33,211.67,264.17,233.67,260.83,316.50,152.12,177.12,151.62,134.12,245.17,291.26,181.75,64.13,275.75,142.62,149.38,169.12,146.62,183.62,47.88,262.50,244.50,422.00,250.25,212.38,312.00,230.88,194.00,222.50,94.60
61,272.67,288.33,127.67,189.83,168.00,27.67,103.00,202.33,235.33,193.83,293.83,248.83,159.33,352.50,221.83,279.17,240.33,277.17,327.88,154.00,185.75,154.12,144.25,260.30,315.88,201.50,68.76,287.12,146.12,169.50,176.88,158.12,188.88,49.62,279.12,255.75,439.88,266.62,220.88,330.88,239.50,199.50,239.00,106.91
62,284.50,298.33,127.67,202.00,168.00,33.50,115.33,217.00,250.83,207.50,300.50,264.17,159.33,364.33,235.00,299.50,248.17,295.00,335.38,156.62,194.25,156.00,148.50,277.67,337.51,220.88,80.13,301.12,155.50,189.50,183.62,169.88,191.38,53.38,299.00,267.50,455.75,281.62,228.88,346.25,252.25,211.38,251.62,117.78
63,296.67,307.00,129.67,214.00,168.00,40.50,127.33,228.67,265.00,220.33,305.50,279.50,159.33,377.67,247.00,314.83,260.00,310.83,342.88,160.50,201.50,157.88,155.88,293.55,355.63,234.75,90.13,316.88,166.38,206.25,191.12,179.50,194.25,58.12,317.25,280.75,471.62,296.12,237.75,357.88,266.50,226.88,261.50,124.78
64,314.33,321.00,137.17,224.50,168.67,46.33,136.00,238.83,279.33,231.00,311.50,295.33,159.33,393.83,259.33,327.00,274.67,326.17,352.62,165.12,209.88,160.75,162.38,307.17,374.26,247.62,102.54,331.62,180.88,220.25,199.25,188.88,199.25,60.75,331.25,296.88,486.25,307.38,249.00,368.62,282.12,241.50,271.62,132.16
65,334.67,337.00,146.67,236.33,172.50,52.83,147.00,248.33,292.50,242.17,322.50,315.33,159.50,409.17,277.00,341.00,290.83,344.50,365.50,167.88,218.88,164.75,171.00,319.30,394.13,261.62,116.79,343.62,196.62,231.38,209.12,199.62,209.50,61.75,343.75,314.25,504.00,322.12,261.50,381.62,299.12,255.38,284.50,140.78
