# Cumulative DD25 averaged for Koyukuk River at Allakaket
# Sites: BETTLES_AP, CHICKEN, NENANA_MUN_AP, KENAI_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
56,290.00,324.75,142.50,382.00,196.66,77.00,103.00,234.25,313.50,254.00,290.40,246.75,211.86,333.75,308.50,311.77,232.23,228.50,362.00,194.37,171.50,194.12,69.67,226.73,245.62,204.25,124.12,270.00,179.25,139.50,248.31,168.75,235.38,43.12,215.75,287.62,388.25,179.25,164.75,361.62,221.88,188.68,175.00,73.00,
57,307.00,334.50,150.75,396.75,205.99,82.50,109.75,240.50,330.00,264.75,304.90,263.25,220.36,345.00,326.25,324.10,239.73,245.75,370.33,197.99,181.62,201.12,83.04,247.23,260.25,224.62,131.12,283.12,190.25,158.75,270.43,181.25,248.12,45.50,233.62,304.88,406.25,191.12,175.50,369.50,228.50,201.68,190.00,79.50,
58,324.00,344.25,159.25,413.75,218.33,87.50,116.50,250.75,342.25,276.50,312.90,281.25,226.36,358.00,342.75,336.60,252.73,263.75,379.17,207.99,195.38,208.75,96.04,264.40,272.75,247.12,137.12,295.50,200.00,178.75,294.31,194.50,263.38,47.38,249.00,319.88,424.75,202.50,186.50,380.75,237.38,213.80,202.12,88.67,
59,339.75,355.75,166.50,429.00,235.66,94.50,125.00,268.25,352.75,292.00,319.65,299.00,230.86,372.75,357.75,355.44,265.98,280.50,388.00,218.49,208.38,215.50,114.79,282.90,288.51,271.88,141.38,309.12,210.00,201.50,319.68,208.38,279.00,49.38,262.50,333.62,443.12,216.75,199.12,396.88,246.25,226.43,216.25,101.33,
60,356.00,369.00,171.50,444.00,254.66,105.50,135.75,285.50,365.50,310.00,330.90,317.00,238.02,389.50,373.00,379.77,275.48,298.00,397.33,229.37,221.00,221.38,135.17,295.40,308.38,294.38,147.88,323.38,219.12,226.00,338.81,223.75,291.62,53.00,278.25,345.75,459.88,232.50,212.75,417.12,253.25,236.93,231.50,115.33,
61,370.75,382.00,181.75,459.00,267.99,117.00,148.50,305.50,376.25,324.75,343.65,333.00,242.69,408.00,389.50,405.10,283.23,315.75,410.67,236.37,235.38,228.38,149.54,307.90,331.26,315.50,155.88,338.25,228.12,250.62,353.68,238.75,298.88,56.25,297.12,359.12,479.50,248.38,226.12,438.62,262.12,245.30,248.38,127.83,
62,388.50,395.00,187.25,473.75,275.16,129.25,159.25,322.00,386.25,341.25,359.65,348.25,246.19,422.94,409.50,430.60,290.23,333.50,424.17,242.99,248.00,232.75,154.42,322.23,349.01,333.88,167.88,357.12,244.75,276.25,368.18,253.00,301.88,60.62,320.00,374.25,498.00,265.12,235.62,455.25,274.12,257.05,265.62,142.00,
63,406.00,409.25,192.50,485.75,278.99,144.00,175.25,337.25,399.75,357.25,376.15,368.25,249.69,436.21,425.75,455.60,298.48,351.00,432.67,253.12,261.00,236.12,159.92,335.90,366.13,352.25,181.75,376.00,261.00,298.62,384.18,265.00,306.50,67.00,344.75,389.62,517.12,285.88,245.00,466.88,290.62,273.80,282.12,152.00,
64,423.00,429.00,198.75,495.75,290.16,159.00,187.75,350.75,416.00,371.25,391.40,389.25,251.86,451.71,441.00,475.27,312.23,370.50,442.50,261.49,271.75,240.62,163.92,348.40,386.63,370.75,198.03,396.25,279.88,315.88,396.68,277.88,316.25,72.12,365.12,405.62,535.62,304.12,259.50,480.00,308.62,292.93,299.00,162.17,
65,442.25,449.00,206.50,510.25,300.16,170.25,200.50,368.00,431.75,384.50,407.15,411.75,254.86,466.71,458.25,492.77,330.23,391.00,455.00,268.24,281.50,248.00,172.67,360.06,409.01,386.61,215.28,411.88,297.50,330.50,411.93,290.62,328.50,75.75,380.62,423.50,552.75,321.00,275.62,491.50,327.62,309.43,316.38,175.33,
