# Cumulative DD25 averaged for Kuskokwim River at Tuluksak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
50,156.83,203.00,89.50,76.83,114.33,19.00,66.83,117.00,117.83,101.83,208.67,110.50,104.33,224.17,110.83,150.00,136.17,122.33,245.83,99.83,135.50,91.75,75.33,110.83,201.88,48.25,27.63,172.75,94.62,48.12,99.81,52.25,94.62,28.75,132.00,183.50,249.00,137.83,131.12,283.88,195.25,101.00,120.38,36.29,130.63
51,165.50,211.17,89.50,81.17,115.00,19.00,68.50,120.17,121.83,106.33,221.83,123.17,107.33,237.33,120.83,157.33,152.33,127.50,254.00,107.83,142.50,104.25,76.17,123.67,215.75,53.25,33.01,185.38,109.75,54.12,110.43,54.50,100.12,30.12,147.25,189.88,266.75,150.67,135.50,289.50,203.88,111.38,128.50,39.46,138.85
52,172.83,217.50,89.50,91.00,115.50,19.00,70.00,123.83,127.17,112.50,230.50,135.00,111.50,250.00,127.17,170.00,169.00,132.67,267.00,114.67,146.17,116.38,77.00,137.67,231.50,65.38,39.76,203.00,124.25,62.25,118.81,62.88,109.00,33.50,164.62,197.12,284.00,165.50,143.88,295.50,212.62,126.00,142.88,42.96,148.50
53,179.50,222.67,95.50,103.50,115.50,19.67,70.33,126.17,136.67,121.83,235.00,143.67,115.83,259.50,135.17,182.50,186.50,143.33,281.67,117.83,148.50,122.25,77.17,150.50,245.88,71.50,45.88,222.38,135.38,72.12,124.31,75.12,123.25,39.00,182.00,208.75,303.25,182.50,154.12,298.88,223.38,142.75,158.62,43.13,158.15
54,187.33,227.50,103.17,113.67,115.50,19.67,70.33,126.50,148.17,128.33,238.83,154.67,122.33,269.00,142.17,195.83,195.50,159.00,298.33,118.33,151.67,126.88,80.17,164.50,258.12,81.62,52.13,239.00,141.62,81.88,129.56,90.75,136.00,46.12,198.25,223.62,324.38,200.83,166.62,303.75,235.25,158.88,169.50,47.51,168.00
55,195.83,237.17,110.17,122.67,116.33,20.67,71.33,127.67,158.33,132.33,245.67,166.67,131.67,278.00,149.67,208.50,203.67,177.50,312.50,120.67,155.50,134.50,84.17,177.00,268.88,96.12,57.26,254.88,142.25,93.88,138.93,104.25,148.38,48.38,214.00,238.75,345.00,217.33,179.38,310.75,245.12,175.88,182.12,53.67,178.00
56,211.33,243.50,114.83,133.33,123.50,20.67,72.17,134.17,172.50,135.50,253.67,179.83,138.67,287.33,161.00,219.00,210.83,194.00,322.50,123.33,157.67,143.75,94.50,191.67,280.38,113.38,61.38,269.12,145.73,110.75,151.68,115.75,161.62,50.00,231.38,252.50,366.38,233.50,190.88,319.50,253.25,193.50,195.00,63.72,188.56
57,225.50,248.50,118.50,143.67,135.17,20.67,72.67,143.33,189.83,140.00,263.33,190.83,145.33,299.33,174.67,226.50,217.83,211.17,329.50,127.67,163.33,150.00,105.83,204.50,290.88,132.88,65.63,279.62,147.98,127.25,162.93,127.25,174.25,52.25,250.50,268.50,386.25,247.00,200.62,329.62,260.75,206.88,209.25,70.30,199.08
58,239.17,258.83,121.33,155.50,145.17,21.00,76.67,156.17,204.00,151.83,269.50,204.00,151.67,312.50,188.67,236.00,223.00,227.83,332.00,134.67,171.33,157.00,118.83,215.00,301.25,150.75,71.13,290.62,151.11,144.62,176.56,140.50,185.12,52.75,264.50,283.38,405.62,260.17,210.25,343.12,267.25,217.00,223.62,78.95,209.71
59,252.00,270.00,123.83,165.83,156.50,21.67,83.17,171.17,213.83,165.67,276.17,218.83,156.67,326.67,200.83,251.00,228.83,244.33,333.33,141.83,181.00,164.38,131.17,226.83,318.62,171.75,74.76,303.75,155.73,165.00,191.31,155.62,194.88,54.88,277.75,298.62,424.25,274.83,222.00,359.62,274.00,223.62,239.62,90.06,221.62
