,hucmask,t2m,year,month,objid,huc6
587,2,279.17734,1982,9,2,190705
588,2,262.20142,1982,10,2,190705
589,2,253.86191,1982,11,2,190705
590,2,252.1225,1982,12,2,190705
591,2,245.31784,1983,1,2,190705
592,2,253.09692,1983,2,2,190705
593,2,257.51306,1983,3,2,190705
594,2,271.78827,1983,4,2,190705
595,2,277.6997,1983,5,2,190705
596,2,285.60147,1983,6,2,190705
597,2,287.50912,1983,7,2,190705
598,2,282.94873,1983,8,2,190705
599,2,273.95978,1983,9,2,190705
600,2,265.1762,1983,10,2,190705
601,2,257.1273,1983,11,2,190705
602,2,247.26926,1983,12,2,190705
603,2,250.7787,1984,1,2,190705
604,2,250.51523,1984,2,2,190705
605,2,264.1256,1984,3,2,190705
606,2,271.05786,1984,4,2,190705
607,2,278.98438,1984,5,2,190705
608,2,285.48978,1984,6,2,190705
609,2,285.68616,1984,7,2,190705
610,2,282.1752,1984,8,2,190705
611,2,276.72974,1984,9,2,190705
612,2,265.3368,1984,10,2,190705
613,2,252.7124,1984,11,2,190705
614,2,248.48717,1984,12,2,190705
615,2,259.81522,1985,1,2,190705
616,2,246.84645,1985,2,2,190705
617,2,261.4211,1985,3,2,190705
618,2,265.25458,1985,4,2,190705
619,2,277.1868,1985,5,2,190705
620,2,283.69373,1985,6,2,190705
621,2,286.2775,1985,7,2,190705
622,2,282.53363,1985,8,2,190705
623,2,276.39563,1985,9,2,190705
624,2,263.39542,1985,10,2,190705
625,2,250.46422,1985,11,2,190705
626,2,258.5255,1985,12,2,190705
627,2,253.07274,1986,1,2,190705
628,2,253.7961,1986,2,2,190705
629,2,256.86697,1986,3,2,190705
630,2,263.89337,1986,4,2,190705
631,2,277.36194,1986,5,2,190705
632,2,285.89688,1986,6,2,190705
633,2,287.38138,1986,7,2,190705
634,2,282.56177,1986,8,2,190705
635,2,277.5269,1986,9,2,190705
636,2,267.90317,1986,10,2,190705
637,2,250.91074,1986,11,2,190705
638,2,256.1814,1986,12,2,190705
639,2,253.55046,1987,1,2,190705
640,2,254.9976,1987,2,2,190705
641,2,257.89835,1987,3,2,190705
642,2,269.64676,1987,4,2,190705
643,2,278.58246,1987,5,2,190705
644,2,284.84604,1987,6,2,190705
645,2,286.54376,1987,7,2,190705
646,2,283.5164,1987,8,2,190705
647,2,276.70187,1987,9,2,190705
648,2,269.1627,1987,10,2,190705
649,2,257.55292,1987,11,2,190705
650,2,253.54004,1987,12,2,190705
651,2,249.64027,1988,1,2,190705
652,2,253.43044,1988,2,2,190705
653,2,262.25937,1988,3,2,190705
654,2,270.59366,1988,4,2,190705
655,2,279.6791,1988,5,2,190705
656,2,286.0395,1988,6,2,190705
657,2,287.2708,1988,7,2,190705
658,2,284.39822,1988,8,2,190705
659,2,276.99692,1988,9,2,190705
660,2,262.96606,1988,10,2,190705
661,2,252.12094,1988,11,2,190705
662,2,254.89758,1988,12,2,190705
663,2,242.5779,1989,1,2,190705
664,2,255.34738,1989,2,2,190705
665,2,254.5128,1989,3,2,190705
666,2,272.61517,1989,4,2,190705
667,2,279.91034,1989,5,2,190705
668,2,285.35074,1989,6,2,190705
669,2,288.50443,1989,7,2,190705
670,2,287.1656,1989,8,2,190705
671,2,278.322,1989,9,2,190705
672,2,266.1903,1989,10,2,190705
673,2,250.397,1989,11,2,190705
674,2,255.87967,1989,12,2,190705
675,2,246.46886,1990,1,2,190705
676,2,243.10396,1990,2,2,190705
677,2,263.14017,1990,3,2,190705
678,2,272.9463,1990,4,2,190705
679,2,281.64038,1990,5,2,190705
680,2,285.9387,1990,6,2,190705
681,2,288.62222,1990,7,2,190705
682,2,285.01114,1990,8,2,190705
683,2,277.73993,1990,9,2,190705
684,2,264.53247,1990,10,2,190705
685,2,248.55391,1990,11,2,190705
686,2,248.28215,1990,12,2,190705
687,2,250.90842,1991,1,2,190705
688,2,252.49802,1991,2,2,190705
689,2,261.6222,1991,3,2,190705
690,2,272.90402,1991,4,2,190705
691,2,281.48505,1991,5,2,190705
692,2,286.21103,1991,6,2,190705
693,2,286.25192,1991,7,2,190705
694,2,281.99118,1991,8,2,190705
695,2,278.61072,1991,9,2,190705
696,2,265.2159,1991,10,2,190705
697,2,252.49782,1991,11,2,190705
698,2,250.64592,1991,12,2,190705
699,2,252.5029,1992,1,2,190705
700,2,251.48473,1992,2,2,190705
701,2,262.62463,1992,3,2,190705
702,2,267.6385,1992,4,2,190705
703,2,275.5407,1992,5,2,190705
704,2,285.75095,1992,6,2,190705
705,2,287.23514,1992,7,2,190705
706,2,284.2413,1992,8,2,190705
707,2,269.00296,1992,9,2,190705
708,2,262.9193,1992,10,2,190705
709,2,257.80237,1992,11,2,190705
710,2,248.16295,1992,12,2,190705
711,2,250.28864,1993,1,2,190705
712,2,254.8984,1993,2,2,190705
713,2,263.25064,1993,3,2,190705
714,2,273.26035,1993,4,2,190705
715,2,280.0314,1993,5,2,190705
716,2,285.9128,1993,6,2,190705
717,2,287.85394,1993,7,2,190705
718,2,284.0099,1993,8,2,190705
719,2,277.32892,1993,9,2,190705
720,2,268.39142,1993,10,2,190705
721,2,256.8385,1993,11,2,190705
722,2,254.40614,1993,12,2,190705
723,2,248.51462,1994,1,2,190705
724,2,246.91032,1994,2,2,190705
725,2,261.11334,1994,3,2,190705
726,2,271.21042,1994,4,2,190705
727,2,280.1689,1994,5,2,190705
728,2,284.61932,1994,6,2,190705
729,2,288.06924,1994,7,2,190705
730,2,287.09006,1994,8,2,190705
731,2,276.28235,1994,9,2,190705
