,hucmask,sd,year,month,objid,huc6
588,2,0.028650671,1982,10,2,190705
589,2,0.050715856,1982,11,2,190705
590,2,0.06462585,1982,12,2,190705
591,2,0.08384516,1983,1,2,190705
592,2,0.09495027,1983,2,2,190705
593,2,0.10834239,1983,3,2,190705
594,2,0.013186092,1983,4,2,190705
595,2,0.00024606287,1983,5,2,190705
596,2,0.0,1983,6,2,190705
597,2,0.0,1983,7,2,190705
598,2,0.0,1983,8,2,190705
599,2,0.0100007,1983,9,2,190705
600,2,0.043762304,1983,10,2,190705
601,2,0.04676748,1983,11,2,190705
602,2,0.05009215,1983,12,2,190705
603,2,0.06491007,1984,1,2,190705
604,2,0.088967584,1984,2,2,190705
605,2,0.09385159,1984,3,2,190705
606,2,0.048716877,1984,4,2,190705
607,2,0.00024318993,1984,5,2,190705
608,2,0.0,1984,6,2,190705
609,2,0.0,1984,7,2,190705
610,2,0.008290696,1984,8,2,190705
611,2,0.00019931793,1984,9,2,190705
612,2,0.023850616,1984,10,2,190705
613,2,0.042716105,1984,11,2,190705
614,2,0.07343153,1984,12,2,190705
615,2,0.102569535,1985,1,2,190705
616,2,0.12374489,1985,2,2,190705
617,2,0.13794482,1985,3,2,190705
618,2,0.15561628,1985,4,2,190705
619,2,0.0046493737,1985,5,2,190705
620,2,0.0,1985,6,2,190705
621,2,0.0,1985,7,2,190705
622,2,0.0,1985,8,2,190705
623,2,0.0061199428,1985,9,2,190705
624,2,0.016588029,1985,10,2,190705
625,2,0.029288704,1985,11,2,190705
626,2,0.04348861,1985,12,2,190705
627,2,0.06804016,1986,1,2,190705
628,2,0.074473955,1986,2,2,190705
629,2,0.078433774,1986,3,2,190705
630,2,0.074221216,1986,4,2,190705
631,2,0.0020028055,1986,5,2,190705
632,2,0.0,1986,6,2,190705
633,2,0.0,1986,7,2,190705
634,2,2.861023e-06,1986,8,2,190705
635,2,0.0059492826,1986,9,2,190705
636,2,0.013576197,1986,10,2,190705
637,2,0.046094146,1986,11,2,190705
638,2,0.06362158,1986,12,2,190705
639,2,0.08353616,1987,1,2,190705
640,2,0.07992828,1987,2,2,190705
641,2,0.08356575,1987,3,2,190705
642,2,0.052821673,1987,4,2,190705
643,2,4.5776367e-05,1987,5,2,190705
644,2,0.0,1987,6,2,190705
645,2,0.0,1987,7,2,190705
646,2,0.0004529953,1987,8,2,190705
647,2,0.0045453818,1987,9,2,190705
648,2,0.027664518,1987,10,2,190705
649,2,0.059681784,1987,11,2,190705
650,2,0.074194506,1987,12,2,190705
651,2,0.082222916,1988,1,2,190705
652,2,0.09573613,1988,2,2,190705
653,2,0.11175573,1988,3,2,190705
654,2,0.021790544,1988,4,2,190705
655,2,0.00012874603,1988,5,2,190705
656,2,0.0,1988,6,2,190705
657,2,0.0,1988,7,2,190705
658,2,0.0,1988,8,2,190705
659,2,0.0025702298,1988,9,2,190705
660,2,0.03157574,1988,10,2,190705
661,2,0.05035441,1988,11,2,190705
662,2,0.06596487,1988,12,2,190705
663,2,0.083970115,1989,1,2,190705
664,2,0.09663073,1989,2,2,190705
665,2,0.10359857,1989,3,2,190705
666,2,0.0065958947,1989,4,2,190705
667,2,0.0,1989,5,2,190705
668,2,0.0,1989,6,2,190705
669,2,0.0,1989,7,2,190705
670,2,0.0,1989,8,2,190705
671,2,0.0013666392,1989,9,2,190705
672,2,0.035785425,1989,10,2,190705
673,2,0.063068405,1989,11,2,190705
674,2,0.09327651,1989,12,2,190705
675,2,0.10796092,1990,1,2,190705
676,2,0.12913914,1990,2,2,190705
677,2,0.14377776,1990,3,2,190705
678,2,0.037899785,1990,4,2,190705
679,2,0.0,1990,5,2,190705
680,2,0.0,1990,6,2,190705
681,2,0.0,1990,7,2,190705
682,2,0.00023174286,1990,8,2,190705
683,2,0.003480065,1990,9,2,190705
684,2,0.03793321,1990,10,2,190705
685,2,0.064610586,1990,11,2,190705
686,2,0.103320085,1990,12,2,190705
