# DUTCH_HARBOR
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024
75,621.43,911.95,736.14,890.81,631.06,772.01,1069.50,873.46,1010.17,840.94,810.26,1053.22,1001.22,928.28,962.41,912.62,735.79,637.06,850.50,616.00,779.00,975.50,1018.50,1080.00,903.50,1101.44,867.57,946.21,
76,641.93,927.95,751.64,910.81,649.56,788.01,1086.80,894.96,1025.17,859.44,825.26,1072.22,1017.72,947.78,979.91,929.62,750.79,652.56,868.00,635.00,789.00,996.00,1038.50,1098.50,921.00,1122.44,881.57,963.51,
77,659.43,943.45,770.64,928.31,663.06,806.01,1105.30,911.96,1041.17,878.44,841.26,1089.72,1032.22,966.28,997.41,951.12,766.79,664.56,883.50,651.50,800.00,1015.50,1059.50,1120.50,940.00,1144.94,895.57,980.90,
78,676.93,957.95,792.64,948.31,678.06,821.51,1122.30,931.96,1053.67,895.94,857.76,1109.72,1049.72,985.78,1009.91,970.62,782.29,678.06,899.50,668.50,811.50,1035.00,1080.00,1137.50,957.50,1167.44,911.07,997.90,
79,692.93,977.95,811.64,972.31,694.06,837.01,1138.80,951.46,1065.17,914.44,871.76,1134.72,1068.72,1006.78,1019.91,994.12,799.79,691.06,916.50,683.00,826.00,1052.50,1099.00,1157.50,976.50,1191.44,927.07,1009.90,
80,709.93,994.45,830.64,989.31,713.56,856.01,1155.80,971.46,1080.67,929.94,888.26,1158.22,1089.22,1026.28,1030.91,1015.62,817.79,706.06,932.00,698.00,842.50,1068.00,1117.00,1177.00,994.50,1214.94,945.07,1026.40,
81,726.93,1011.95,846.64,1002.81,731.06,877.51,1171.30,991.96,1094.67,946.44,900.76,1176.22,1109.22,1047.78,1044.91,1031.12,833.79,722.06,950.00,712.00,862.50,1085.50,1136.50,1197.00,1015.50,1235.44,962.43,1041.40,
82,743.43,1031.45,868.14,1018.81,745.06,896.01,1185.30,1012.96,1109.67,962.94,914.26,1196.22,1130.22,1071.78,1060.41,1047.12,849.29,738.06,968.50,726.50,883.50,1105.00,1156.50,1218.50,1035.50,1254.94,980.45,1058.90,
83,758.93,1047.45,890.64,1035.31,758.56,916.51,1199.80,1036.96,1126.17,980.94,927.76,1216.72,1148.72,1096.78,1080.91,1061.12,863.29,754.06,987.50,742.00,901.50,1121.50,1174.50,1243.50,1058.00,1271.94,998.72,1077.40,
84,771.43,1067.45,908.14,1052.81,771.06,937.01,1217.80,1061.96,1140.67,1000.94,942.26,1239.22,1166.22,1118.28,1105.41,1075.12,877.79,772.56,1006.00,758.50,920.50,1137.50,1193.50,1267.50,1080.00,1290.44,1017.72,1096.40,
85,790.20,1086.95,927.64,1071.31,786.56,957.01,1238.80,1085.46,1158.67,1017.94,957.76,1258.72,1184.72,1138.78,1128.41,1096.62,893.29,790.06,1021.50,772.50,940.00,1152.50,1212.50,1291.50,1099.00,1308.94,1037.72,1118.90,
86,807.70,1103.95,945.64,1093.31,804.56,976.51,1259.80,1109.96,1179.17,1032.44,974.76,1277.72,1204.72,1158.28,1147.91,1119.12,910.29,808.06,1039.50,788.00,960.00,1171.00,1232.00,1314.00,1116.50,1328.94,1056.72,1138.90,
87,826.70,1123.95,963.14,1113.81,823.06,992.51,1282.80,1131.96,1198.58,1046.94,991.76,1296.72,1221.22,1182.78,1166.41,1142.62,927.29,825.56,1057.50,805.50,978.00,1194.50,1254.00,1337.50,1133.50,1347.94,1073.72,1155.90,
88,845.70,1139.95,980.14,1133.81,838.06,1010.01,1306.80,1154.46,1215.08,1066.14,1009.26,1314.72,1236.72,1203.78,1188.41,1169.62,944.29,842.56,1079.50,821.50,996.50,1215.00,1275.50,1360.50,1150.50,1373.44,1090.22,1174.90,
89,866.20,1159.45,999.64,1151.31,855.06,1031.51,1324.30,1180.46,1229.08,1082.64,1026.76,1334.22,1254.22,1223.78,1206.91,1194.12,961.29,861.06,1101.00,837.50,1014.50,1234.50,1299.50,1383.00,1167.50,1394.44,1107.72,1195.90,
90,880.70,1172.95,1021.64,1173.81,870.56,1051.01,1340.80,1204.96,1245.58,1097.64,1045.76,1353.72,1275.22,1246.28,1226.41,1219.12,977.29,878.06,1122.50,855.00,1033.00,1251.00,1321.00,1406.50,1187.50,1413.87,1127.72,1213.40,
91,890.70,1186.45,1042.14,1194.81,890.06,1070.89,1361.30,1227.96,1264.08,1118.64,1064.76,1376.72,1295.22,1269.78,1247.41,1239.00,993.79,897.56,1142.00,873.00,1053.00,1270.00,1340.88,1426.50,1209.00,1433.75,1147.22,1234.40,
92,902.70,1200.45,1062.64,1213.81,907.56,1089.39,1380.30,1249.46,1285.08,1135.64,1084.76,1397.72,1317.22,1292.28,1267.91,1257.00,1011.79,916.79,1162.00,890.00,1073.00,1286.00,1361.88,1446.50,1229.00,1455.25,1166.72,1257.40,
93,916.70,1220.95,1084.14,1234.81,927.06,1108.89,1400.30,1268.46,1307.58,1153.14,1104.26,1420.22,1340.22,1312.78,1287.91,1278.50,1028.29,934.79,1182.00,905.50,1092.50,1306.50,1382.38,1468.00,1253.50,1479.25,1187.22,1280.90,
