# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
55,299.33,168.15,1116.48,299.82,951.17,190.23,608.63,933.24,206.94,312.24,0.00,7.63,908.88,833.67,425.39,878.27,454.08,767.93,1102.73,251.05,669.06,500.47,383.48,501.75,294.68,60.67,98.63,595.90,798.97,642.78,251.94,711.58,217.76,148.09,298.35,845.57,191.31
56,318.17,184.87,1142.88,319.86,976.59,206.08,631.78,958.91,224.73,332.43,0.00,10.51,933.50,855.67,445.44,903.12,474.33,789.83,1127.75,269.72,685.81,522.07,395.64,523.18,314.73,69.45,111.68,618.20,820.60,662.98,270.87,732.98,236.63,161.59,319.85,864.00,204.88
57,337.79,202.54,1169.21,341.71,1001.93,220.88,656.37,984.20,243.25,353.74,0.00,13.29,957.90,877.00,465.32,928.45,494.08,811.51,1152.80,288.95,703.08,543.42,408.61,544.25,336.14,78.42,125.43,641.52,841.97,684.46,289.92,754.48,256.43,175.92,341.75,883.02,220.47
58,356.79,220.14,1194.63,362.69,1027.53,236.38,680.35,1009.20,261.45,374.09,0.00,16.22,982.35,898.95,484.78,952.86,514.51,832.98,1177.97,307.90,719.80,564.64,422.32,565.85,356.89,87.09,139.45,663.89,863.10,705.91,309.35,776.15,275.65,191.90,362.98,901.66,235.50
59,376.20,239.11,1220.08,384.00,1052.46,253.25,705.65,1034.64,279.46,395.71,0.00,20.38,1006.55,920.42,505.28,977.86,535.03,854.38,1202.92,327.73,737.70,585.59,435.53,587.77,378.44,96.76,154.28,687.37,884.12,726.96,330.59,797.89,295.05,208.94,385.63,921.34,251.50
60,395.75,258.63,1245.60,406.46,1077.70,270.75,730.91,1060.47,298.16,417.29,0.00,24.07,1031.07,941.34,525.10,1003.25,555.80,876.31,1227.94,347.96,755.37,607.69,448.34,609.62,400.55,106.68,169.40,711.20,905.67,748.39,352.11,819.58,314.48,225.84,408.55,941.59,268.31
61,415.63,277.01,1272.25,428.06,1103.48,286.90,755.34,1087.16,318.98,438.66,0.00,27.50,1056.02,962.74,545.44,1029.10,576.17,898.69,1253.84,367.68,773.29,630.14,460.84,631.59,421.90,115.81,184.05,734.38,928.15,770.37,373.42,840.84,333.66,243.03,431.02,961.48,285.24
62,435.30,294.87,1299.27,449.69,1129.95,303.40,779.73,1114.51,338.73,459.33,0.00,30.66,1081.87,984.79,565.24,1055.34,596.67,920.62,1280.36,387.50,791.59,651.72,474.60,652.96,441.79,124.96,198.80,757.55,950.93,791.99,393.97,862.48,352.61,260.98,453.54,981.09,301.81
63,456.09,312.94,1325.42,471.88,1156.55,318.70,804.77,1141.18,357.96,481.02,0.00,34.25,1106.89,1007.71,585.70,1081.05,617.57,943.39,1306.03,407.43,809.22,674.12,488.08,674.52,462.50,133.74,213.45,780.98,973.33,814.38,415.80,884.05,372.33,278.34,476.44,1000.64,318.80
64,476.33,330.82,1351.97,492.88,1182.34,334.07,830.18,1167.41,377.84,502.62,0.00,38.41,1131.84,1030.69,606.90,1106.58,637.22,965.62,1331.85,427.45,826.67,696.70,501.22,696.32,482.79,142.87,228.42,804.56,994.85,836.54,437.87,905.96,392.16,296.47,499.22,1020.14,335.39
65,496.90,350.20,1378.50,514.53,1208.25,352.04,855.05,1193.91,397.30,524.33,0.00,43.07,1156.49,1053.59,627.70,1132.93,658.29,987.35,1357.38,448.77,844.45,719.27,514.03,718.72,504.59,154.64,243.97,827.68,1016.32,859.33,459.31,928.03,413.14,314.16,522.45,1039.69,352.13
66,518.12,371.25,1404.88,536.45,1234.92,370.82,881.44,1220.49,418.00,547.62,0.00,49.04,1182.02,1076.59,649.70,1159.36,680.31,1009.58,1382.88,471.17,862.75,742.49,527.25,741.47,527.14,166.77,261.77,852.65,1038.57,881.94,482.16,950.67,434.31,333.11,546.57,1059.37,369.49
67,540.55,393.37,1431.61,560.75,1261.87,388.85,908.57,1247.24,440.12,572.00,0.00,56.21,1207.72,1099.22,671.72,1186.40,702.08,1032.71,1408.60,494.37,881.55,766.94,541.23,764.67,550.82,179.24,280.34,878.28,1061.55,904.94,505.71,973.34,456.54,352.68,571.50,1079.61,388.65
68,563.21,415.53,1459.56,585.13,1288.94,406.52,934.75,1275.66,462.32,597.52,0.00,64.64,1234.25,1122.29,693.38,1214.57,723.90,1055.73,1435.23,516.99,900.67,790.86,555.97,787.84,575.33,192.41,300.36,903.00,1084.98,928.36,530.95,995.75,479.29,372.97,597.82,1100.54,408.25
69,585.92,439.46,1487.36,611.44,1317.08,426.15,962.47,1304.71,486.71,623.44,0.00,75.26,1261.22,1145.47,715.97,1243.53,745.75,1080.20,1462.56,541.34,919.44,816.34,571.19,812.17,601.04,207.33,321.46,929.38,1108.80,952.75,556.21,1019.77,502.82,393.76,624.99,1121.24,428.35
70,609.35,464.39,1516.03,639.25,1346.15,447.22,990.01,1334.11,512.52,650.59,1.15,87.43,1289.17,1169.34,739.17,1273.44,768.85,1104.33,1489.78,566.89,938.66,842.24,587.22,836.25,628.06,222.88,343.09,955.70,1132.58,977.34,583.16,1043.67,527.05,415.26,653.06,1141.88,449.56
71,632.71,489.29,1544.83,667.13,1375.65,468.42,1018.58,1363.94,539.31,677.61,3.28,100.02,1317.39,1194.17,763.12,1303.66,792.72,1128.56,1518.03,592.66,958.21,868.02,603.05,861.07,654.92,238.66,366.66,982.67,1157.00,1002.07,610.33,1067.69,551.22,437.40,681.69,1163.27,472.23
72,657.59,515.03,1573.88,695.88,1404.81,489.97,1047.58,1393.97,565.10,705.17,4.91,113.19,1345.52,1218.92,786.83,1333.33,817.07,1153.41,1545.75,620.01,978.91,895.20,618.64,886.38,682.47,254.81,390.53,1010.50,1181.08,1027.95,638.33,1091.55,577.15,459.54,710.46,1184.75,494.75
