# CORDOVA_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
47,501.00,606.50,299.67,484.00,643.50,266.50,235.50,467.00,537.50,327.00,462.00,335.50,395.50,515.50,524.00,378.00,429.00,395.00,475.00,329.50,483.50,457.50,129.50,426.50,493.00,586.50,345.00,225.50,373.50,293.50,441.00,336.50,288.00,238.50,332.00,518.00,694.50,322.50,424.00,675.50,311.50,229.00,523.50,328.50
48,517.00,624.00,307.67,497.50,662.50,276.00,245.00,470.00,552.50,343.00,481.00,345.00,409.00,534.00,536.50,391.00,445.50,403.00,491.00,351.00,497.00,470.50,140.00,442.50,506.00,601.00,354.50,238.50,378.00,306.00,458.50,351.50,301.00,242.50,344.00,534.00,713.00,335.00,440.50,690.50,331.00,255.50,533.00,342.50
49,535.00,640.00,321.67,509.50,678.50,284.50,254.50,483.00,564.50,362.00,498.50,354.50,427.00,547.00,554.50,406.00,459.00,412.00,506.50,369.50,509.00,485.50,150.50,456.00,518.50,618.50,364.50,253.00,384.50,317.00,471.00,361.50,313.50,247.50,360.00,551.00,728.00,345.50,456.00,704.50,344.50,280.00,544.50,356.00
50,554.00,658.00,333.67,520.50,696.50,293.00,267.00,496.50,578.50,384.00,514.50,366.50,443.00,563.00,576.00,421.00,479.00,422.50,524.50,382.00,524.50,499.00,161.50,473.50,532.50,637.00,373.00,269.00,394.50,328.00,483.00,375.50,327.50,254.50,372.00,563.50,743.00,358.50,467.50,717.00,361.00,294.50,558.50,372.00
51,568.50,676.50,343.67,536.00,710.50,304.00,278.00,510.00,592.00,400.50,529.00,380.00,461.00,580.00,602.00,439.00,494.50,433.00,540.50,392.50,539.00,512.50,174.50,488.50,544.00,652.50,385.00,284.00,406.50,343.50,498.50,388.00,343.50,262.00,387.00,572.50,761.00,374.00,481.50,731.00,377.00,307.50,574.50,388.00
52,582.00,694.00,353.67,554.00,721.00,312.50,289.50,525.50,609.50,418.00,545.50,394.00,475.50,602.50,623.50,456.50,515.00,450.00,556.50,403.50,549.50,528.00,183.50,508.50,559.50,670.50,396.50,300.50,422.50,358.00,509.50,402.00,356.50,274.50,399.00,583.50,782.00,392.00,498.00,743.50,394.50,324.50,592.00,403.50
53,594.50,710.50,361.17,572.50,730.00,319.00,298.00,542.50,626.00,435.50,563.50,408.00,491.50,621.00,640.50,475.00,532.00,470.00,573.50,419.50,559.50,541.50,190.50,531.00,576.00,695.00,408.00,319.50,440.50,369.50,521.00,420.50,368.00,284.50,414.50,595.00,801.00,411.00,514.00,753.50,412.00,340.10,609.50,421.50
54,611.50,726.50,372.67,591.50,742.00,327.50,307.50,556.50,639.50,453.00,577.00,422.00,508.50,640.50,662.00,490.50,549.50,496.00,591.00,436.50,570.00,555.50,197.00,553.50,593.00,720.50,421.50,336.00,451.50,382.50,534.00,439.00,379.00,298.00,425.50,607.50,818.00,431.00,525.50,765.50,427.50,359.10,626.50,437.50
55,627.50,743.50,383.17,609.50,754.50,336.50,314.00,569.50,654.50,473.00,594.00,436.50,529.50,662.50,682.00,505.00,563.00,516.50,610.50,451.00,582.00,570.00,204.00,577.00,607.50,747.50,432.00,349.50,464.50,393.00,555.00,455.00,393.00,312.50,440.00,624.50,838.50,449.00,540.50,778.00,444.50,378.10,642.50,449.50
56,647.00,759.00,395.67,630.00,767.50,345.50,328.50,582.50,672.00,495.00,613.00,452.00,547.00,679.50,703.50,525.00,576.00,538.00,625.50,465.00,597.00,590.50,215.00,602.50,620.50,769.50,442.50,365.50,481.00,406.50,575.00,471.00,410.50,320.00,461.00,647.50,858.00,465.50,553.00,793.50,464.00,396.10,660.00,462.00
57,665.50,777.00,410.67,648.50,783.50,355.50,347.00,593.50,689.00,521.00,632.00,467.50,564.50,699.50,724.00,546.00,590.50,555.50,640.50,476.00,614.00,609.50,228.00,628.00,635.50,796.00,454.50,380.00,496.50,422.00,600.00,485.00,424.00,329.50,481.00,662.00,876.50,483.50,562.00,807.50,482.50,413.10,675.50,478.00
58,683.50,796.00,422.67,666.50,803.50,366.50,364.00,609.50,704.00,542.50,648.00,482.00,577.50,720.00,743.00,569.50,608.00,572.50,656.00,488.50,628.50,627.50,244.50,648.50,651.50,827.00,465.50,393.50,512.00,438.00,622.50,498.00,441.00,338.50,495.00,679.00,896.00,499.00,573.00,821.50,498.50,428.10,694.00,490.50
59,703.50,817.00,435.67,687.50,822.50,378.00,383.00,630.00,720.00,564.00,665.50,500.00,590.00,738.50,761.00,592.50,624.00,588.00,671.50,501.00,645.00,644.00,262.50,671.00,668.50,854.50,476.50,405.50,526.00,452.50,640.00,514.00,457.50,345.50,511.00,696.00,913.50,515.50,587.00,840.00,515.00,446.10,713.00,506.00
60,724.50,839.00,448.67,709.00,846.50,392.00,396.50,648.00,735.00,589.50,682.00,517.00,603.00,758.00,778.00,616.50,642.50,605.50,690.50,512.00,662.50,659.50,279.50,692.50,693.50,877.00,488.00,423.50,538.50,473.00,652.50,527.00,471.00,355.00,531.50,711.50,931.50,530.50,601.50,860.50,532.50,461.10,732.50,521.50
61,745.50,856.00,460.17,729.00,861.50,403.00,413.50,667.50,750.50,615.50,699.00,532.50,620.50,776.00,798.00,641.00,658.00,620.50,708.00,525.00,678.00,672.50,299.00,712.50,723.00,899.50,497.50,441.50,558.00,497.50,663.50,542.00,485.00,368.50,554.00,726.50,949.00,547.50,613.50,881.00,548.00,474.10,750.00,534.00
62,762.00,878.00,474.17,743.00,879.00,412.50,434.00,682.00,764.50,640.00,715.50,549.00,635.50,794.50,817.00,660.00,677.00,637.50,723.00,538.00,695.00,685.00,318.00,735.00,743.00,917.50,513.50,459.00,576.50,523.00,672.50,554.50,498.50,381.50,581.00,744.00,963.00,564.00,626.50,898.00,564.50,490.10,765.50,547.00
63,778.00,896.00,485.67,760.00,894.00,424.50,450.50,699.00,779.00,660.00,733.00,568.00,653.00,813.00,833.50,684.50,696.50,658.00,737.00,550.00,714.50,696.00,330.50,755.50,765.50,935.50,528.00,475.00,593.50,545.50,692.50,569.00,513.50,395.50,607.50,762.00,980.00,581.50,638.00,920.50,585.00,509.10,784.00,560.00
64,800.00,916.00,499.67,776.50,910.50,438.50,466.50,721.50,793.50,679.00,753.00,586.50,668.00,831.50,847.50,706.50,718.50,679.50,755.50,565.50,731.00,704.00,342.00,772.00,793.50,953.00,542.00,488.50,611.50,565.50,713.50,584.50,527.50,411.50,628.50,780.50,996.50,597.50,651.50,938.00,603.50,522.60,803.50,572.50
65,823.50,937.00,520.17,792.50,925.00,455.00,482.50,743.50,815.00,697.50,774.00,609.00,678.00,849.50,863.50,724.00,740.00,703.00,772.00,580.00,748.50,715.50,352.00,791.50,817.00,971.50,557.50,502.50,629.50,584.50,726.50,601.00,543.00,422.00,647.00,799.50,1014.00,613.50,666.00,953.00,622.50,537.10,822.00,586.00
