# HOMER_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
61,689.50,734.00,452.50,762.50,761.50,338.50,403.00,622.50,626.00,525.50,703.00,577.50,564.00,748.50,639.50,605.00,681.50,572.00,692.00,417.50,607.00,641.00,417.50,606.50,593.50,755.50,513.00,415.50,516.50,460.50,485.50,440.82,399.00,430.00,703.00,927.50,911.83,572.50,678.50,867.50,585.00,484.00,723.50,445.50
62,710.00,751.50,463.50,778.50,775.50,351.50,418.00,640.50,638.00,543.00,721.50,594.00,576.00,768.00,659.00,621.50,694.00,590.50,712.00,428.00,622.50,651.00,429.00,633.00,613.50,778.50,529.50,431.50,532.50,479.50,496.00,451.32,409.00,445.50,727.00,946.50,932.33,589.50,695.00,889.00,603.50,501.00,740.00,460.00
63,728.00,766.50,473.50,795.00,790.00,365.00,434.50,656.50,652.50,564.00,737.00,614.00,588.00,790.00,674.50,640.00,707.50,611.00,729.00,439.00,641.00,654.50,440.50,654.50,634.50,796.50,545.00,444.00,548.00,501.00,508.50,462.82,418.00,461.50,753.00,966.00,952.33,614.50,713.00,906.00,620.50,518.50,757.50,474.00
64,746.00,785.00,484.50,812.50,802.50,377.00,447.50,674.00,671.50,578.00,751.00,635.00,598.50,811.00,690.50,656.50,726.00,629.00,748.00,450.50,655.00,658.50,453.00,677.00,654.50,819.00,564.00,455.50,567.50,518.50,522.50,475.32,430.50,472.50,777.00,987.50,970.33,639.50,731.50,922.50,640.50,535.00,776.00,490.00
65,765.50,807.00,502.00,829.50,814.50,392.50,460.00,695.50,688.50,591.50,764.50,657.00,608.00,829.00,709.50,670.50,748.00,649.50,765.00,462.50,673.00,666.50,470.00,695.50,674.50,841.50,583.50,468.00,586.00,533.00,537.00,488.82,445.50,482.50,799.50,1010.00,985.83,658.50,749.00,938.00,662.50,550.50,795.00,508.50
66,783.00,827.50,518.00,845.50,829.50,409.00,474.00,718.00,707.00,606.50,779.50,679.50,618.50,847.00,728.50,688.00,766.00,668.50,779.50,477.50,691.50,679.50,485.50,709.50,701.50,865.50,599.50,480.50,602.50,546.00,553.50,503.32,460.00,493.50,824.00,1033.50,1008.33,681.50,765.00,962.00,682.50,564.50,814.50,525.00
67,803.50,852.00,537.00,863.50,848.00,423.00,487.50,736.00,727.00,623.00,801.00,696.50,635.50,866.00,746.00,710.50,782.00,687.00,794.00,488.00,711.50,694.00,502.00,727.00,727.50,885.00,612.00,496.50,619.00,562.00,569.00,517.82,475.00,506.50,847.00,1058.50,1027.33,703.50,779.50,986.00,701.00,578.50,831.50,541.00
68,821.00,878.50,554.50,885.00,869.00,436.00,500.50,754.50,746.00,637.50,822.50,710.50,649.00,882.50,762.50,733.00,801.00,703.50,808.50,500.50,727.50,708.00,519.00,748.50,745.00,904.00,624.50,512.50,638.50,577.50,584.50,533.32,487.00,522.50,867.50,1083.50,1046.33,724.00,799.50,1007.50,725.50,599.50,850.50,554.50
69,836.00,903.00,574.50,907.00,886.00,446.00,514.00,771.00,768.00,656.00,845.50,724.50,662.00,897.00,782.50,759.00,821.50,723.50,823.00,514.00,745.50,720.50,534.00,771.00,765.00,929.00,644.00,529.00,659.00,594.00,599.00,550.82,501.00,539.00,893.00,1111.00,1068.83,744.50,823.00,1030.00,753.00,620.00,868.50,574.50
70,853.00,927.00,588.50,927.50,902.50,458.00,527.00,787.50,788.50,670.50,869.00,739.50,677.50,913.50,804.50,785.50,840.50,745.50,837.00,534.50,766.50,733.00,546.00,789.00,784.50,951.50,661.00,544.50,678.50,608.00,615.50,569.32,515.00,557.00,922.00,1134.00,1090.33,765.50,841.00,1052.50,778.00,640.50,889.50,596.50
