# MCGRATH_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
46,144.50,167.50,114.00,51.00,99.50,29.00,42.50,120.00,131.50,104.50,225.00,90.00,107.50,215.50,124.50,174.50,79.50,129.50,294.50,63.00,102.00,70.00,33.00,102.00,166.00,57.00,31.50,174.50,79.00,49.50,40.00,67.50,69.50,46.00,81.00,192.00,199.50,155.50,124.50,270.00,138.00,63.50,56.00,20.50,163.00
47,150.00,167.50,114.00,51.00,99.50,29.00,52.50,120.00,148.50,114.00,241.00,98.50,118.50,231.50,124.50,187.50,85.00,129.50,310.50,80.00,108.50,81.00,43.50,108.00,176.50,57.00,36.00,183.50,82.50,52.00,56.00,71.00,85.00,46.00,93.00,202.50,215.00,164.00,137.00,270.00,154.00,74.00,56.00,20.50,175.00
48,157.50,178.00,114.00,59.50,99.50,29.00,61.50,120.00,159.50,123.50,255.00,108.50,131.50,249.00,134.00,197.50,85.00,134.50,329.50,101.00,110.00,90.00,44.00,119.00,191.50,57.00,37.00,201.00,95.50,54.00,71.50,76.50,100.50,46.00,109.00,224.00,228.00,167.00,152.00,271.50,171.50,91.00,61.00,20.50,196.00
49,165.50,188.00,114.00,68.50,99.50,29.00,65.00,125.50,171.50,135.00,267.50,118.50,143.00,261.50,147.50,212.50,96.50,136.50,345.50,121.00,119.50,98.00,44.00,128.50,205.00,57.00,37.00,219.50,104.50,57.50,87.50,82.00,116.00,49.50,126.00,240.50,243.50,172.00,161.00,273.00,184.00,110.50,66.00,21.50,205.52
50,177.00,197.50,114.00,79.00,99.50,29.00,69.00,131.50,183.00,147.50,281.50,133.00,156.50,277.50,162.50,225.00,108.50,138.00,362.00,139.00,133.50,105.50,51.00,139.00,219.50,58.50,38.50,234.50,119.00,63.00,104.00,84.50,129.00,50.00,143.00,247.50,261.50,181.00,166.00,273.00,197.50,127.00,72.50,22.50,215.90
51,187.00,211.00,114.00,87.50,101.50,29.00,74.00,139.50,189.00,156.50,298.00,146.50,165.50,292.00,180.00,240.50,124.50,147.00,375.00,153.00,147.50,118.00,53.00,154.50,236.50,68.50,48.00,250.00,137.50,72.00,117.00,90.50,138.50,53.00,160.00,257.00,277.50,192.00,171.00,280.50,206.00,141.50,77.50,29.00,227.62
52,200.50,225.00,114.00,100.00,103.00,29.00,78.50,150.50,192.00,162.00,313.00,161.00,171.50,305.00,196.50,258.00,140.00,154.00,391.50,166.50,158.50,134.50,53.00,173.00,257.50,84.00,57.50,269.00,154.00,80.50,128.50,103.50,151.00,59.50,176.50,267.00,296.00,206.00,177.50,285.50,217.00,157.00,92.50,36.00,240.22
53,214.00,238.50,126.00,117.00,103.00,31.00,79.50,157.50,201.50,174.00,322.50,171.50,178.50,319.50,216.00,273.50,158.00,172.50,407.50,176.00,165.50,143.00,53.00,192.00,274.00,91.00,67.00,289.00,169.50,94.00,137.00,120.00,167.00,69.00,192.50,281.50,316.00,224.50,189.00,288.50,230.50,172.50,109.50,36.00,253.15
54,226.00,248.00,139.50,133.00,103.00,31.00,79.50,158.50,214.00,186.00,331.50,186.00,188.00,333.50,231.00,290.00,166.50,191.00,427.00,177.50,175.00,151.50,56.00,211.50,290.50,105.00,76.50,308.50,180.00,104.50,146.00,137.50,180.50,79.00,210.00,297.50,341.00,244.50,202.00,292.50,241.00,190.00,123.00,49.15,266.30
55,240.50,263.00,150.50,145.50,103.00,34.00,82.50,161.00,226.50,197.00,345.00,203.00,199.50,346.00,248.00,307.50,178.50,214.50,443.50,179.50,186.50,162.00,58.50,229.50,307.50,119.50,86.00,327.00,180.00,120.00,161.00,154.00,195.50,85.50,224.50,314.00,364.00,263.00,218.50,300.50,248.50,208.50,139.00,62.62,279.77
56,258.00,275.50,164.00,159.00,114.00,34.00,85.00,173.00,246.00,206.50,355.00,220.00,211.00,357.00,268.00,324.00,187.50,235.50,457.50,180.50,193.00,173.50,72.50,250.00,321.50,137.00,94.00,345.50,180.00,141.00,183.50,169.50,211.00,85.50,241.50,331.50,387.50,280.50,234.00,309.00,255.00,227.50,157.50,76.29,293.44
57,277.00,282.50,175.00,174.00,123.00,34.00,86.50,185.00,263.50,219.00,368.50,232.50,224.50,368.00,286.50,335.50,202.50,254.50,472.50,187.00,201.00,186.00,89.00,267.50,332.50,158.00,102.00,363.50,180.50,162.00,204.00,183.00,228.50,92.00,262.00,353.00,409.50,298.00,247.00,319.50,262.50,239.50,172.00,90.52,307.67
58,295.00,293.00,183.50,191.00,137.50,35.00,93.00,197.50,279.00,238.50,379.00,245.00,232.50,384.50,304.50,347.00,215.00,274.00,479.50,196.00,214.50,199.00,105.50,281.50,346.00,178.50,113.00,380.50,183.50,183.50,228.50,195.50,245.00,94.00,282.00,371.50,429.00,314.50,258.00,332.00,269.50,251.50,187.00,104.47,321.62
59,314.00,306.50,191.00,206.50,154.50,37.00,101.50,214.00,290.50,255.00,389.50,260.00,239.00,402.50,322.50,370.00,226.50,294.00,483.50,203.50,230.00,210.50,123.00,294.50,364.00,201.00,122.00,396.50,190.00,209.00,249.00,216.00,262.00,97.00,299.00,388.50,447.50,330.00,273.50,347.00,276.50,262.00,202.00,119.30,336.45
